,name,clouds,country,dt,humidity,lat,lon,temp_max,speed
172,Ust-Maya,0,RU,1600903365,72,60.42,134.53,42.42,1.19
173,Micheweni,1,TZ,1600903367,84,-4.97,39.83,76.39,8.86
174,Kapaa,20,US,1600903368,58,22.08,-159.32,87.8,12.75
175,Kampot,20,KH,1600903369,94,10.62,104.18,75.2,3.47
176,Iqaluit,90,CA,1600903370,82,63.75,-68.51,35.6,18.34
177,Torbay,75,CA,1600903372,93,47.67,-52.73,66.99,24.16
178,Nome,1,US,1600903373,48,64.5,-165.41,44.6,17.22
179,Starokorsunskaya,0,RU,1600903375,87,45.06,39.32,55.4,4.47
180,Urengoy,67,RU,1600903376,90,65.97,78.37,36.14,7.85
181,Kamaishi,75,JP,1600903378,77,39.27,141.88,68.0,3.36
182,Gravdal,94,NO,1600903379,66,68.12,13.5,44.8,28.39
183,Severo-Kuril'sk,8,RU,1600903380,70,50.68,156.12,49.55,13.22
184,Pevek,98,RU,1600903383,95,69.7,170.31,34.9,20.33
185,Kiryat Gat,17,IL,1600903264,77,31.61,34.76,77.0,1.25
186,Road Town,20,VG,1600903387,94,18.42,-64.62,82.0,2.95
187,Kaeo,79,NZ,1600903388,79,-35.1,173.78,64.99,10.0
188,Beringovskiy,75,RU,1600903389,64,63.05,179.32,43.56,13.78
189,Araouane,48,ML,1600903390,20,18.9,-3.53,97.34,5.41
190,Takoradze,41,GH,1600903392,93,4.88,-1.76,74.48,7.99
191,Ugoofaaru,97,MV,1600903393,79,5.67,73.0,81.79,13.78
192,Pringsewu,71,ID,1600903394,94,-5.36,104.97,75.06,3.33
193,Laas,90,IT,1600903396,100,46.62,10.7,57.2,2.13
194,Asău,100,RO,1600903397,82,46.43,26.4,57.0,3.67
195,Poum,2,NC,1600903398,70,-20.23,164.02,73.74,13.85
196,Nuuk,89,GL,1600903400,37,64.18,-51.72,37.4,6.85
197,Tiksi,2,RU,1600903401,80,71.69,128.87,41.23,10.49
198,Mar del Plata,40,AR,1600903403,87,-38.0,-57.56,50.0,6.93
199,Hobart,20,AU,1600903350,57,-42.88,147.33,53.01,9.17
200,Maicao,99,CO,1600903405,74,11.38,-72.24,84.45,0.74
201,Gēdo,61,ET,1600903406,100,9.02,37.45,50.49,1.34
202,Bushehr,0,IR,1600903409,47,28.97,50.84,88.75,2.33
203,Camocim,48,BR,1600903410,72,-2.9,-40.84,78.53,18.05
204,New Iberia,90,US,1600903412,83,30.0,-91.82,82.0,13.87
205,Fukuechō,75,JP,1600903413,88,32.69,128.84,71.6,3.36
206,Haverfordwest,50,GB,1600903300,87,51.8,-4.97,57.99,4.7
207,Fort Nelson,90,CA,1600903405,71,58.81,-122.7,55.4,3.42
208,Rapid Valley,1,US,1600903418,21,44.06,-103.15,82.4,14.99
209,Kinel’-Cherkassy,0,RU,1600903419,79,53.47,51.47,47.03,3.53
210,Mbaïki,100,CF,1600903421,96,3.87,17.99,70.81,2.28
211,Cherskiy,100,RU,1600903422,91,68.75,161.3,41.0,12.95
212,Kohima,100,IN,1600903424,99,25.67,94.12,62.51,3.36
213,Ulaangom,30,MN,1600903425,57,49.98,92.07,45.09,2.26
214,Brownsville,1,US,1600903183,66,25.9,-97.5,87.8,10.29
215,Okhotsk,100,RU,1600903429,67,59.38,143.3,49.8,5.79
216,Río Gallegos,40,AR,1600903188,30,-51.62,-69.22,59.0,17.22
217,Kloulklubed,75,PW,1600903432,74,7.04,134.26,84.2,5.26
218,Hamilton,90,US,1600903434,60,39.18,-84.53,71.01,3.36
219,Laguna,1,US,1600903435,24,38.42,-121.42,91.0,9.17
220,Rundu,0,NA,1600903436,25,-17.93,19.77,68.36,5.73
221,Bilma,0,NE,1600903438,15,18.69,12.92,89.46,6.06
222,Ponta do Sol,20,PT,1600903439,73,32.67,-17.1,73.4,4.7
223,Lavrentiya,80,RU,1600903441,72,65.58,-171.0,41.86,2.95
224,Inírida,86,CO,1600903442,88,3.87,-67.92,78.3,2.3
225,Alberton,98,CA,1600903444,73,46.82,-64.07,59.13,16.64
226,Bom Jesus,23,BR,1600903446,31,-9.07,-44.36,87.28,6.04
227,Madang,72,PG,1600903447,78,-5.22,145.8,82.06,1.95
228,Ancud,63,CL,1600903448,78,-41.87,-73.82,48.99,1.01
229,Manacapuru,20,BR,1600903272,70,-3.3,-60.62,84.2,3.36
230,Santa Fe,74,AR,1600903218,45,-31.63,-60.7,68.0,1.01
231,Havøysund,92,NO,1600903453,62,71.0,24.66,51.8,25.28
232,San Cristobal,40,VE,1600903454,45,7.77,-72.22,87.8,20.8
233,Codrington,77,AU,1600903457,84,-38.27,141.97,48.29,12.33
234,Fortuna,1,US,1600903458,53,40.6,-124.16,81.0,11.41
235,Shenjiamen,100,CN,1600903460,77,29.96,122.3,71.33,13.47
236,Salalah,75,OM,1600903462,94,17.02,54.09,77.0,5.82
237,Burnie,38,AU,1600903464,64,-41.07,145.92,54.0,5.99
238,Talnakh,40,RU,1600903349,93,69.49,88.4,39.2,4.47
239,Careiro da Várzea,40,BR,1600903466,58,-3.2,-59.81,86.0,4.7
240,Naryan-Mar,0,RU,1600903468,88,67.67,53.09,35.62,6.24
241,San Mateo del Mar,3,MX,1600903469,65,16.2,-95.0,87.06,17.45
242,Lompoc,1,US,1600903427,56,34.64,-120.46,78.01,11.41
243,Irricana,69,CA,1600903471,34,51.32,-113.6,70.0,7.0
244,Cidreira,44,BR,1600903473,89,-30.18,-50.21,62.65,14.41
245,Roald,98,NO,1600903474,70,62.58,6.13,48.2,18.34
246,Mersin Province,40,TR,1600903475,94,36.86,34.65,77.0,5.53
247,Shanting,21,CN,1600903477,81,35.08,117.46,64.8,0.51
248,Usogorsk,6,RU,1600903478,92,63.41,48.69,37.53,4.0
249,Kavaratti,89,IN,1600903479,81,10.57,72.64,81.01,17.83
250,Fare,0,PF,1600903480,77,-16.7,-151.02,79.66,15.1
251,Ambilobe,61,MG,1600903482,75,-13.2,49.05,64.38,3.98
252,Umm Kaddadah,65,SD,1600903483,35,13.6,26.69,89.53,6.78
253,Suclayin,100,PH,1600903486,84,15.76,121.55,77.94,2.73
254,Mahina,20,PF,1600903487,66,-17.51,-149.49,86.0,12.75
255,Rawson,0,AR,1600903488,37,-43.3,-65.1,57.4,15.64
256,Walla Walla,1,US,1600903473,22,46.06,-118.34,80.6,3.36
257,Chapada dos Guimarães,75,BR,1600903480,65,-15.46,-55.75,80.6,6.93
258,Ardakān,0,IR,1600903492,32,32.31,54.02,66.2,2.24
259,Kumul,100,CN,1600903493,31,42.8,93.45,63.97,2.1
260,Yinchuan,2,CN,1600903209,35,38.47,106.27,58.3,4.25
261,Umluj,0,SA,1600903495,61,25.02,37.27,85.59,6.89
262,Migori,75,KE,1600903497,68,-1.06,34.47,63.97,5.17
263,Balkhash,100,KZ,1600903498,43,46.84,74.98,58.75,30.13
264,Tautira,20,PF,1600903499,66,-17.73,-149.15,86.0,12.75
265,São José da Coroa Grande,59,BR,1600903501,79,-8.9,-35.15,75.36,10.89
266,Mazatlán,75,MX,1600903384,79,23.22,-106.42,89.01,10.29
267,Normandin,75,CA,1600903504,72,48.83,-72.53,59.0,13.87
268,Puerto Parra,100,CO,1600903506,78,6.65,-74.06,81.63,2.51
269,Velingrad,97,BG,1600903507,61,42.03,24.0,59.0,5.32
270,Shimoda,75,JP,1600903508,83,34.67,138.95,69.8,27.51
271,Belaya Gora,92,RU,1600903510,69,68.53,146.42,43.72,8.14
272,Corinth,57,GR,1600903310,64,37.94,22.96,73.99,1.01
273,Norrtälje,0,SE,1600903513,100,59.76,18.7,55.0,4.7
274,Waingapu,9,ID,1600903516,66,-9.66,120.26,79.88,3.76
275,Qandala,92,SO,1600903409,51,11.47,49.87,88.92,5.14
276,Saint-Pierre,0,RE,1600903519,55,-21.34,55.48,64.4,8.05
277,Mayo,1,US,1600903382,53,38.89,-76.51,73.4,3.36
278,Bubaque,40,GW,1600903522,81,11.28,-15.83,81.19,11.59
